Date,Adjusted Close Price,lnstock,lnstockdiff
04/10/2006,49.608746,3.904167149,0
01/11/2006,48.786053,3.887444473,-0.016722676
01/12/2006,48.86747,3.88911194,0.001667467
03/01/2007,49.444824,3.900857381,0.011745441
01/02/2007,46.851498,3.846982983,-0.053874399
01/03/2007,44.863674,3.803628425,-0.043354558
02/04/2007,47.811905,3.867274667,0.063646242
01/05/2007,47.412987,3.858896179,-0.008378489
01/06/2007,46.176514,3.832471314,-0.026424865
02/07/2007,45.337215,3.814128218,-0.018343095
01/08/2007,46.615379,3.841930508,0.02780229
04/09/2007,49.565144,3.903287845,0.061357337
01/10/2007,49.165302,3.895188131,-0.008099714
01/11/2007,51.422001,3.940066116,0.044877985
03/12/2007,50.632526,3.924594176,-0.01547194
02/01/2008,47.930103,3.869743762,-0.054850414
01/02/2008,47.346336,3.857489435,-0.012254327
03/03/2008,49.569996,3.903385731,0.045896296
01/04/2008,51.266392,3.937035411,0.033649679
01/05/2008,51.358368,3.938827883,0.001792472
02/06/2008,49.511497,3.902204905,-0.036622978
01/07/2008,52.689655,3.964419136,0.062214231
01/08/2008,54.549961,3.999116997,0.034697861
02/09/2008,53.659256,3.98265398,-0.016463018
01/10/2008,47.50951,3.860929902,-0.121724078
03/11/2008,45.748886,3.823167442,-0.03776246
01/12/2008,46.725094,3.844281365,0.021113923
02/01/2009,45.053825,3.807857886,-0.036423479
02/02/2009,39.372032,3.673055717,-0.13480217
02/03/2009,41.419376,3.723748791,0.050693074
01/04/2009,41.230392,3.719175654,-0.004573136
01/05/2009,43.819538,3.780079791,0.060904137
01/06/2009,45.122368,3.809378088,0.029298297
01/07/2009,48.371498,3.878910756,0.069532668
03/08/2009,48.403141,3.879564708,0.000653952
01/09/2009,48.763523,3.886982554,0.007417846
01/10/2009,47.289967,3.856298159,-0.030684395
02/11/2009,50.723293,3.926385233,0.070087074
01/12/2009,51.99057,3.951062356,0.024677123
04/01/2010,50.739437,3.926703458,-0.024358898
01/02/2010,51.241535,3.936550434,0.009846975
01/03/2010,53.030922,3.970875177,0.034324744
01/04/2010,52.298904,3.956975415,-0.013899763
03/05/2010,47.851875,3.868110302,-0.088865113
01/06/2010,48.475674,3.881062105,0.012951803
01/07/2010,47.679512,3.864501788,-0.016560317
02/08/2010,47.242634,3.855296748,-0.00920504
